#	Year	Age	Pension Contribution[Pension Contribution]	Extra Earning[Extra Earning]	Rental[Rental]	           Total
0	1993	45	"36,000"	"20,000"	"10,000"	"66,000"
1	1994	46	"36,720"	"22,000"	"10,500"	"69,220"
2	1995	47	"37,454"	"24,200"	"11,025"	"72,679"
3	1996	48	"38,203"	"26,620"	"11,576"	"76,400"
4	1997	49	"38,968"	"29,282"	"12,155"	"80,405"
5	1998	50	"39,747"	"32,210"	"12,763"	"84,720"
6	1999	51	0	0	"13,401"	"13,401"
7	2000	52	0	0	"14,071"	"14,071"
8	2001	53	0	0	"14,775"	"14,775"
9	2002	54	0	0	"15,513"	"15,513"
10	2003	55	0	0	"15,824"	"15,824"
11	2004	56	0	0	"16,140"	"16,140"
12	2005	57	0	0	"16,463"	"16,463"
13	2006	58	0	0	"16,792"	"16,792"
14	2007	59	0	0	"17,128"	"17,128"
15	2008	60	0	0	"17,470"	"17,470"
16	2009	61	0	0	"17,820"	"17,820"
17	2010	62	0	0	"18,176"	"18,176"
18	2011	63	0	0	"18,540"	"18,540"
19	2012	64	0	0	"18,911"	"18,911"
20	2013	65	0	0	"19,289"	"19,289"
21	2014	66	0	0	"19,675"	"19,675"
22	2015	67	0	0	"20,068"	"20,068"
23	2016	68	0	0	"20,469"	"20,469"
24	2017	69	0	0	"20,879"	"20,879"
25	2018	70	0	0	"21,296"	"21,296"
26	2019	71	0	0	"21,722"	"21,722"
27	2020	72	0	0	"22,157"	"22,157"
28	2021	73	0	0	"22,600"	"22,600"
29	2022	74	0	0	"23,052"	"23,052"
30	2023	75	0	0	"23,513"	"23,513"
31	2024	76	0	0	"23,983"	"23,983"
32	2025	77	0	0	"24,463"	"24,463"
33	2026	78	0	0	"24,952"	"24,952"
34	2027	79	0	0	"25,451"	"25,451"
35	2028	80	0	0	"25,960"	"25,960"
36	2029	81	0	0	"26,479"	"26,479"
37	2030	82	0	0	"27,009"	"27,009"
38	2031	83	0	0	"27,549"	"27,549"
39	2032	84	0	0	"28,100"	"28,100"
40	2033	85	0	0	"28,662"	"28,662"
41	2034	86	0	0	"29,235"	"29,235"
42	2035	87	0	0	"29,820"	"29,820"
